name
Akrati Saxena
Matthew DeVerna
Jaehong Ahn
Benedikt Ströbl
Hamida Seba
Aditi Dutta
Roberto Trotta
Andrea mina
Michael Vincent Arnold
Gerardo Iñiguez
Claire Glanois
Vladimir Filkov
Edmond Awad
Julia Szamely
Leo Ferres
Jamell Dacon
Katharina Kleinen
Casey Randazzo
Yotaro Takazawa
Katayoun Farrahi
Scott A. Hale
Marta Gonzalez
Amy Selby
Rosalia Steffi Longjam
Camille Roth
Elena Pavan
Denis E Hudon
Beibei Li
Stefan Katz
Lisa Anne Hendriks
Philippe Beutels
Johannes Ross
Mariano Gastón Beiró
Fan Yin
Matthew Silk
Priscila Alvarez-Cueva
Tina Law
Michael Quayle
Aaron Smith
Andrés Gvirtz
Fabian Baumann
Zhuojian Wei
Jia-Ru Song
Jonathan Zhu
Sean Kelty
Jason C Coronel
Babak Heydari
Kristen Engel
David Joachim Grüning
Charles Rahal
Pietro Lio
Alberto Amaduzzi
Roberto Ulloa
Theresa Henn
Isabelle Augenstein
Rishabh Kaushal
Neil A. Tenenholtz
Valentina Semenova
Marie Decker
Ian Krajbich
Aaron Clauset
Chloe Ahn
Agnieszka Falenska
Daniele Gambetta
Nate Holers
Alex Pentland
Han Zheng
Hiu Sze Chan
Catalina Vajiac
Hang Jiang
Luca Maria Aiello
Linda Coufal
Joachim Baumann
Regina Widjaya
Dylan Thurgood
Nils Christopher Köbis
Francesca Chiaromonte
Gordon Pennycook
Jason Burton
Graham Tierney
Jingwen Zhang
Nicola Fanton
Caterina Suitner
Rubing Shen
Linda Steg
Andy Berres
Ali Salloum
Jiani Yan
Kayla Duskin
Paulina Pankowska
Christian Czymara
Darko Stojilovic
Masaru Kitsuregawa
Sima Farokhnejad
Anna Seo Gyeong Choi
Yasuhiro Suzuki
Mark E Whiting
Lorenzo De Masi
Andreas Koher
Oana Goga
Laura Casanovas Buliart
Clemens M. Lechner
Suman Maity
Juniper L Lovato
Dongning Deng
Delphine De Moor
Magnus Resch
Emilio Zagheni
Márton Rakovics
Maria Sahakyan
Towa Suda
Akhil Arora
Elisa Omodei
Ke Zhou
Tobias Felix Werner
Sylvain Fontaine
John Bryden
Lisa Green
Sajid Siraj
Damian Trilling
Tessa Masis
Serine Ramlawi
Xiaoya Chen
David Lusseau
Christoph Bartenhagen
Angelos Kassianos
Dan Thomsen
Dan Franks
Rada Mihalcea
Emmeke Aarts
Ana Maria Jaramillo
Felix Victor Münch
Hocine Cherifi
Takahiro Miura
James Bagrow
Alexander Sobieska
Qianru Meng
David Rand
June Young Lee
Shadi Rezapour
Minsu Park
Duncan J Watts
Cesar A Hidalgo
Calvin Yixiang Cheng
Elisabeth Stockinger
Zachary Pangan
Roberta Rocca
Hayato Misumi
Lin Ai
