Author,Community,Degree
https://openalex.org/A5061223764,44,6
https://openalex.org/A5090179530,9,9
https://openalex.org/A5000772319,3,7
https://openalex.org/A5078696405,3,7
https://openalex.org/A5001559598,6,9
https://openalex.org/A5087667251,31,8
https://openalex.org/A5048954811,9,3
https://openalex.org/A5062575348,3,7
https://openalex.org/A5046886059,9,12
https://openalex.org/A5079991156,6,8
https://openalex.org/A5073056211,9,10
https://openalex.org/A5070795618,18,13
https://openalex.org/A5087956926,44,5
https://openalex.org/A5057372216,16,7
https://openalex.org/A5084424576,4,2
https://openalex.org/A5057861660,3,3
https://openalex.org/A5084793824,40,76
https://openalex.org/A5030321541,6,5
https://openalex.org/A5040580626,45,5
https://openalex.org/A5090962780,8,7
https://openalex.org/A5015375969,12,5
https://openalex.org/A5070433540,12,6
https://openalex.org/A5091078668,6,5
https://openalex.org/A5024219829,12,4
https://openalex.org/A5001779075,6,5
https://openalex.org/A5067796612,44,5
https://openalex.org/A5070355432,6,5
https://openalex.org/A5087635409,16,7
https://openalex.org/A5087624455,45,3
https://openalex.org/A5026132686,16,7
https://openalex.org/A5042096756,16,8
https://openalex.org/A5043989022,9,7
https://openalex.org/A5043699777,9,6
https://openalex.org/A5004609930,9,3
https://openalex.org/A5051434566,42,15
https://openalex.org/A5066292961,31,6
https://openalex.org/A5063237850,7,2
https://openalex.org/A5048386811,9,3
https://openalex.org/A5020932593,42,6
https://openalex.org/A5024915368,3,4
https://openalex.org/A5040287174,44,9
https://openalex.org/A5056426413,31,6
https://openalex.org/A5059313553,3,3
https://openalex.org/A5051031380,9,4
https://openalex.org/A5086585292,9,16
https://openalex.org/A5067810419,4,4
https://openalex.org/A5087684941,42,5
https://openalex.org/A5039491690,42,6
https://openalex.org/A5036379141,4,3
https://openalex.org/A5090548734,42,6
https://openalex.org/A5051234459,16,10
https://openalex.org/A5038148716,42,4
https://openalex.org/A5073180609,8,4
https://openalex.org/A5035208761,16,10
https://openalex.org/A5071972513,9,3
https://openalex.org/A5044523801,8,7
https://openalex.org/A5087455664,42,4
https://openalex.org/A5075241233,42,3
https://openalex.org/A5025412768,31,6
https://openalex.org/A5075860970,42,5
https://openalex.org/A5088152848,9,6
https://openalex.org/A5034462193,9,2
https://openalex.org/A5062873491,3,2
https://openalex.org/A5032668331,57,17
https://openalex.org/A5017426974,9,9
https://openalex.org/A5025427025,1,8
https://openalex.org/A5005082745,1,9
